2017-03-05 11:12:04,520 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\main\resources
2017-03-05 11:12:04,530 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:12:04,530 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
2017-03-05 11:12:10,140 [Worker-19] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\dsood1\Framework19Feb1100\Meritnation
2017-03-05 11:12:10,140 [Worker-19] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B test
2017-03-05 11:13:43,576 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:13:43,576 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\main\resources
2017-03-05 11:13:43,576 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:13:43,586 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
2017-03-05 11:13:48,646 [Worker-39] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\dsood1\Framework19Feb1100\Meritnation
2017-03-05 11:13:48,646 [Worker-39] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B test
2017-03-05 11:14:43,360 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:14:43,360 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\main\resources
2017-03-05 11:14:43,370 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:14:43,370 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
2017-03-05 11:14:44,430 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:14:44,440 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\main\resources
2017-03-05 11:14:44,440 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:14:44,440 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
2017-03-05 11:14:52,778 [Worker-39] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\dsood1\Framework19Feb1100\Meritnation
2017-03-05 11:14:52,778 [Worker-39] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B test
2017-03-05 11:17:22,728 [Worker-40] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\dsood1\Framework19Feb1100\Meritnation
2017-03-05 11:17:22,728 [Worker-40] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B test
2017-03-05 11:19:17,176 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:19:17,186 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\main\resources
2017-03-05 11:19:17,186 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-05 11:19:17,186 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\dsood1\Framework19Feb1100\Meritnation\src\test\resources
